date,fed_sent_pos,fed_sent_neg,fed_sent_neu,fed_sent_net,n_articles
2024-07-01,0.0008072559139691293,0.2600526213645935,0.7391400933265686,-0.2592453654506244,1
2024-07-03,1.0076001899506082e-06,5.234919626673218e-07,0.9999985694885254,4.841082272832864e-07,1
2024-07-09,0.33572666874079005,1.560892798124769e-05,0.6642577648162842,0.3357110598128088,2
2024-07-10,9.357055205327924e-06,0.9999599456787109,3.078080408158712e-05,-0.9999505886235056,1
2024-07-12,1.6412070181104355e-05,1.96302335098153e-06,0.9999816417694092,1.4449046830122825e-05,1
2024-07-17,0.0034068329259753227,0.00019362922466825694,0.9963995218276978,0.003213203701307066,1
2024-07-18,3.742762055480853e-05,6.723339174641296e-05,0.9998953342437744,-2.9805771191604435e-05,1
2024-07-19,0.05095233308384195,0.11587768239163172,0.833169957002004,-0.06492534930778977,3
2024-07-22,0.04338428005576134,5.152629455551505e-05,0.95656418800354,0.04333275376120582,1
2024-07-23,0.001524886698462069,0.0014463794650509953,0.9970287680625916,7.850723341107368e-05,1
2024-07-25,0.004234193403438742,8.420166644403555e-05,0.995681643486023,0.004149991736994707,3
2024-07-26,0.008132715709507465,0.002789884340018034,0.9890773296356201,0.005342831369489431,1
2024-07-29,0.10758565366268158,2.5367535272380337e-05,0.8923890590667725,0.1075602861274092,1
2024-08-01,0.0030504094902426004,1.0483688129170332e-05,0.9969391822814941,0.00303992580211343,1
2024-08-02,0.0001832488487707451,3.1101793865673244e-05,0.9997856020927429,0.00015214705490507185,1
2024-08-05,0.0001159872781499871,7.1129968546301825e-06,0.9998768866062164,0.00010887428129535692,2
2024-08-08,0.0004615121288225055,0.0005495219957083464,0.9989890456199646,-8.800986688584089e-05,1
2024-08-09,0.00020407627744134516,8.779496170063794e-07,0.999795138835907,0.00020319832782433878,1
2024-08-15,0.0006041369633749127,0.00019446575606707484,0.9992013573646545,0.0004096712073078379,1
2024-08-21,6.191340844452498e-07,4.3687211359610956e-07,0.999998927116394,1.822619708491402e-07,1
2024-08-26,0.01065863762050867,2.1352656403905712e-05,0.9893200397491455,0.010637284964104765,1
2024-08-27,2.023490651481552e-06,1.1094964520452777e-06,0.9999969005584717,9.139941994362744e-07,1
2024-08-28,2.3660708393435925e-05,1.7867432688944973e-05,0.9999585151672363,5.793275704490952e-06,1
2024-09-04,0.0021465292666107416,0.004142542369663715,0.993710994720459,-0.0019960131030529737,1
2024-09-05,0.9998849630355835,1.3602121384792554e-07,0.0001149232848547399,0.9998848270143696,1
2024-09-11,0.0006526308716274798,0.0002853340411093086,0.9990620017051697,0.0003672968305181712,1
2024-09-13,0.00032397176255472004,7.766199996694922e-05,0.9995983242988586,0.0002463097625877708,1
2024-09-19,0.001348312827758491,0.00020666708587668836,0.9984450936317444,0.0011416457418818027,1
2024-09-20,3.013453351741191e-05,1.4134368484519655e-06,0.999968409538269,2.8721096668959945e-05,1
2024-10-01,0.0011238724691793323,0.0003278894000686705,0.9985482096672058,0.0007959830691106617,1
2024-10-02,0.00013807446521241218,2.1365975044318475e-05,0.9998406171798706,0.0001167084901680937,1
2024-10-03,0.0013968590646982193,0.012818526476621628,0.9857845902442932,-0.011421667411923409,1
2024-10-04,0.0077975589119887445,6.097006735217292e-05,0.992141455411911,0.007736588844636572,2
2024-10-09,1.1000148560924572e-06,5.319750471244333e-07,0.9999984502792358,5.680398089680239e-07,1
2024-10-10,8.104686276055872e-05,0.9990406632423401,0.0008781468495726585,-0.9989596163795795,1
2024-10-15,6.230628787307069e-05,1.0218923534921487e-05,0.9999274015426636,5.20873643381492e-05,2
2024-10-24,0.0018281979719176888,0.00044015664025209844,0.997731626033783,0.0013880413316655904,1
2024-11-12,0.003311810316517949,0.8872885704040527,0.10939954966306686,-0.8839767600875348,1
2024-11-13,5.1482405979186296e-05,2.1894278688705526e-05,0.9999265670776367,2.958812729048077e-05,1
2024-11-19,0.00030069766216911376,0.0002750277053564787,0.9994243383407593,2.5669956812635064e-05,1
2024-11-20,0.9999357461929321,1.168963990494376e-06,6.305697752395645e-05,0.9999345772289416,1
2024-11-21,0.002456093207001686,0.20728179812431335,0.7902621030807495,-0.20482570491731167,1
2024-11-22,0.0006020270981631862,1.4255374177688887e-05,0.9993837277094523,0.0005877717239854974,3
2024-11-26,1.1995753084192984e-06,6.909359058226983e-07,0.9999980926513672,5.086394025966001e-07,1
2024-11-29,0.035362906754016876,1.051729304890614e-05,0.9646266102790833,0.03535238946096797,1
2024-12-03,0.0003674173888157384,0.00018457107898939284,0.9994480212529501,0.00018284630982634553,3
2024-12-04,0.0005719055770896375,0.000321392435580492,0.9991067051887512,0.0002505131415091455,1
2024-12-06,6.1421592363331e-06,9.63699676503893e-07,0.999992847442627,5.178459559829207e-06,1
2024-12-09,0.00010686507448554039,3.506494294924778e-06,0.999889612197876,0.00010335858019061561,1
2024-12-12,0.06311456114053726,0.00013764138566330075,0.9367477297782898,0.06297691975487396,1
2024-12-13,0.027539264410734177,0.0003922437608707696,0.9720684885978699,0.027147020649863407,1
2024-12-19,0.0004926234105369076,0.0001372960587104899,0.9993700583775839,0.0003553273518264177,3
2024-12-23,0.0977805107831955,0.000250621436862275,0.9019688367843628,0.09752988934633322,1
2025-01-06,0.00032556738005951047,3.06427464238368e-05,0.9996438026428223,0.00029492463363567367,1
2025-01-08,6.013274855831696e-07,4.018284869289346e-07,0.9999990463256836,1.9949899865423504e-07,1
2025-01-10,0.00457401480525732,7.526129593316e-06,0.9954185485839844,0.004566488675664004,1
2025-01-13,7.273870141943917e-05,3.5203386232751654e-06,0.9999237060546875,6.9218362796164e-05,1
2025-01-14,4.1204160424967995e-05,2.4186001866155493e-05,0.9999345541000366,1.7018158558812502e-05,2
2025-01-16,0.09814847260713577,1.5638814147678204e-05,0.9018359184265137,0.0981328337929881,1
2025-01-17,0.35749611258506775,0.001499953563325107,0.6410039067268372,0.35599615902174264,1
2025-01-23,0.002863039029762149,0.0006236689514480531,0.996513307094574,0.0022393700783140957,1
2025-01-31,2.3802498617442325e-05,2.2392217942979187e-05,0.9999537467956543,1.410280674463138e-06,1
2025-02-04,0.02887999638915062,0.006220596842467785,0.9648994207382202,0.022659399546682835,1
2025-02-05,0.0020931074395775795,0.0001854930742410943,0.9977213740348816,0.0019076143653364852,1
2025-02-11,0.8586930632591248,1.7000767911667936e-05,0.1412898749113083,0.8586760624912131,1
2025-02-12,0.06583127503593762,1.2590689342080926e-05,0.9341560999552408,0.06581868434659555,3
2025-02-19,9.235983498001588e-07,4.570033809159213e-07,0.9999985694885254,4.6659496888423746e-07,1
2025-02-25,2.7077924187324243e-06,1.1110076911791111e-06,0.9999961853027344,1.5967847275533131e-06,1
2025-02-28,4.2895888327620924e-05,2.41593215832836e-06,0.9999547004699707,4.0479956169292564e-05,1
2025-03-10,9.596598101779819e-05,0.9998602867126465,4.3789892515633255e-05,-0.9997643207316287,1
2025-03-13,0.0010101072257384658,0.0003578742907848209,0.99863201379776,0.0006522329349536449,1
2025-03-14,0.03798263007774949,1.4261102478485554e-05,0.9620031118392944,0.037968368975271005,2
2025-03-17,0.999984860420227,9.235046718458761e-07,1.4168820598570164e-05,0.9999839369155552,1
2025-03-20,0.0011432272149249911,0.001814642339013517,0.9970421195030212,-0.0006714151240885258,1
2025-03-21,0.05846333294175565,0.0001421947581548011,0.9413944482803345,0.05832113818360085,2
2025-03-28,0.002074816497042775,0.000251246354309842,0.9976739287376404,0.0018235701427329332,1
2025-04-01,0.0006554971332661808,0.00032393154106102884,0.9990205764770508,0.0003315655922051519,1
2025-04-08,0.0015316989738494158,0.000794139108620584,0.9976741671562195,0.0007375598652288318,1
2025-04-09,1.38221344059275e-06,6.991589884819405e-07,0.9999978542327881,6.830544521108095e-07,1
2025-04-10,0.9938364624977112,1.4118980288913008e-05,0.006149424705654383,0.9938223435174223,1
2025-04-15,0.006751795497962121,0.00532958644349435,0.9879186451435089,0.0014222090544677712,2
2025-04-16,0.09691890329122543,1.7915379430633038e-05,0.9030632972717285,0.0969009879117948,1
2025-04-17,0.0008418774232268333,0.00014251536049414426,0.9990155696868896,0.0006993620627326891,1
2025-04-18,0.0006515588029287755,2.441398100927472e-05,0.9993240833282471,0.0006271448219195008,1
2025-04-24,0.0037802073638886213,0.0004183605778962374,0.9958015084266663,0.003361846785992384,1
2025-05-12,4.5607888750964776e-05,2.2861506295157596e-05,0.9999314546585083,2.274638245580718e-05,1
2025-05-13,0.0015093284891918302,0.0009671445586718619,0.9975234866142273,0.0005421839305199683,1
2025-05-28,1.6600060348537227e-05,7.666889644042385e-06,0.9999757409095764,8.933170704494842e-06,2
2025-05-29,1.0680358172976412e-05,2.7127414796268567e-05,0.9999620914459229,-1.6447056623292156e-05,1
2025-05-30,6.406236934708431e-06,1.2096030559405335e-06,0.9999923706054688,5.196633878767898e-06,1
2025-06-02,0.044405944645404816,0.00018410530174151063,0.9554100036621094,0.044221839343663305,1
2025-06-03,0.014748387613508385,0.002549640460159708,0.9827020168304443,0.012198747153348677,2
2025-06-05,0.009492140263319016,6.564652358065359e-05,0.9904422461986542,0.009426493739738362,2
2025-06-06,0.0021043618769454042,2.3159150089213654e-05,0.9978724718093872,0.0020812027268561906,2
2025-06-09,9.024212886288296e-06,1.1221216027479386e-06,0.9999898672103882,7.902091283540358e-06,1
2025-06-12,0.0006814940716139972,0.0003922233881894499,0.9989262223243713,0.0002892706834245473,1
2025-06-13,1.221328966494184e-05,1.0192612535320222e-05,0.9999775886535645,2.0206771296216175e-06,1
2025-06-16,0.000764198659453541,0.0003369587648194283,0.9988987445831299,0.0004272398946341127,1
2025-06-20,0.0010744720930233598,0.0014270113315433264,0.9974984526634216,-0.0003525392385199666,1
2025-06-23,0.4290248155593872,0.00020778324687853456,0.570767343044281,0.4288170323125087,1
2025-06-24,0.05817519128322601,6.994857540121302e-05,0.9417548775672913,0.0581052427078248,1
2025-06-25,1.2076694474671967e-05,2.2170188458403572e-06,0.9999856948852539,9.85967562883161e-06,1
2025-06-26,0.07079937579510442,1.230784536687679e-05,0.9291883111000061,0.07078706794973755,2
2025-06-27,0.5004564498085529,0.0001638370681575907,0.49937973460600915,0.5002926127403953,2
2025-07-03,0.0004386503132991493,0.0005101075512357056,0.9990512728691101,-7.145723793655634e-05,1
2025-07-09,1.0004991963796783e-06,4.838079803448636e-07,0.9999985694885254,5.166912160348147e-07,1
2025-07-10,0.04967533051967621,4.2171628592768684e-05,0.9502825736999512,0.04963315889108344,1
2025-07-14,0.0002479761897120625,2.509098885639105e-05,0.9997268319129944,0.00022288520085567143,1
2025-07-15,0.0005526817076884072,0.00010110339880498032,0.9993462860584259,0.00045157830888342687,2
2025-07-16,0.00036007960443384945,0.00010291669605067,0.9995369911193848,0.00025716290838317946,1
2025-07-21,0.00020711815159302205,0.00010335913248127326,0.9996895790100098,0.00010375901911174878,1
2025-07-31,0.18500171601772308,2.8240210667718202e-05,0.8149700164794922,0.18497347580705537,1
2025-08-01,0.3052503764629364,0.00028878552257083356,0.6944608688354492,0.30496159094036557,1
2025-08-05,4.686859938374255e-06,1.7859289073385298e-05,0.9999774694442749,-1.3172429135011043e-05,1
2025-08-07,0.00011306195665383711,1.9547783267626073e-06,0.9998849630355835,0.00011110717832707451,1
2025-08-12,0.0004969640867784619,0.0006557952729053795,0.9988471269607544,-0.0001588311861269176,1
2025-08-15,0.9988790154457092,1.5867256024648668e-06,0.00111941818613559,0.9988774287201068,1
2025-08-19,0.000711425906047225,0.00076154904672876,0.998526930809021,-5.0123140681535006e-05,1
