date,decision_type,change_bp,target_lower,target_upper,note
2024-07-31,hold,0,5.25,5.50,"维持目标区间 5.25%-5.50%，无调整。" 
2024-09-18,cut,-50,4.75,5.00,"降息 50bp，将目标区间从 5.25%-5.50% 下调至 4.75%-5.00%。"
2024-11-07,cut,-25,4.50,4.75,"降息 25bp，下调至 4.50%-4.75%。"
2024-12-18,cut,-25,4.25,4.50,"降息 25bp，下调至 4.25%-4.50%。"
2025-01-29,hold,0,4.25,4.50,"维持 4.25%-4.50%。"
2025-03-19,hold,0,4.25,4.50,"维持 4.25%-4.50%。"
2025-06-18,hold,0,4.25,4.50,"维持 4.25%-4.50%。"
2025-07-30,hold,0,4.25,4.50,"维持 4.25%-4.50%。"
2025-09-17,cut,-25,4.00,4.25,"降息 25bp，下调至 4.00%-4.25%。"
